name,genre,居酒屋,焼鳥,魚介料理・海鮮料理,日本酒バー,イタリアン,中華料理,ダイニングバー,日本料理,焼肉,ラーメン,定食・食堂,もつ鍋,うどん,寿司,鳥料理,カフェ,カレーライス,バル・バール,ワインバー,ホルモン,飲茶・点心,パン,サンドイッチ,洋食,ビストロ,広東料理,鉄板焼き,餃子,ステーキ,つけ麺,和食（その他）,そば,洋菓子（その他）,お好み焼き,バー,喫茶店,鍋（その他）,牛丼,コーヒー専門店,ケーキ,バイキング,四川料理,親子丼,焼きそば,立ち飲み居酒屋・バー,かつ丼・かつ重,ちゃんぽん,そば・うどん・麺類（その他）,インド料理,パキスタン料理,インドカレー,パスタ,担々麺,焼きとん,うなぎ,スペイン料理,馬刺し,創作料理,肉バル,弁当,もつ焼き,フレンチ,ハンバーガー,韓国料理,刀削麺,串焼き,タイスキ,タイ料理,西洋各国料理（その他）,パブ
韓無量 飯田橋東口店,韓国料理、居酒屋、焼肉            ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ベルテンポ,イタリアン、バイキング、西洋各国料理（その他）            ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
あか牛焼肉と馬刺し たべとも,焼肉、馬刺し、居酒屋            ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
和牛焼肉食べ放題 肉屋の台所 飯田橋店,焼肉、バイキング、居酒屋            ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山彦,鉄板焼き、ステーキ、魚介料理・海鮮料理            ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
焼き鳥とワイン+あて寿司 3B 飯田橋,焼鳥、寿司、ワインバー            ,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
トロワ・サージュ,ビストロ、洋食、ワインバー            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
個室Dining 新荘園 アイガーデンテラス 飯田橋店,四川料理、もつ鍋、居酒屋            ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
魚の旨い店 飯田橋本店,居酒屋、魚介料理・海鮮料理、鍋（その他）            ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thai Restaurant BASIL,タイ料理、居酒屋、タイスキ            ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
きむら屋 飯田橋駅前,もつ鍋、居酒屋、串焼き            ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
純中国伝統料理四川料理 芊品香,四川料理、刀削麺、中華料理            ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ダイニング&バー ヒーローズ,ダイニングバー            ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
居酒屋 かまどか 飯田橋店,居酒屋、鳥料理、もつ鍋            ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
